id,admission_number,first_name,last_name,middle_name,date_of_birth,gender,email,phone,address,class_id,status
1989,STU_TEST_17bb2c,Test,Student,,2010-01-01,male,student_test_17bb2c@example.com,,,,active
1991,STU_TEST_f72577,Test,Student,,2010-01-01,male,student_test_f72577@example.com,,,,active
1210,ADM2003,Karen,Brown,,2006-04-25,Female,,,"6593 Cedar Lane, Lakeside",238.0,active
1211,ADM2004,Sarah,Thomas,,2007-05-07,Female,,,"111 Oak Avenue, Meadowbrook",232.0,active
1212,ADM2005,Mark,Anderson,,2012-02-05,Male,,,"5630 Main St, Meadowbrook",254.0,active
1213,ADM2006,Michael,Davis,,2005-07-16,Male,,,"7235 Oak Avenue, Lakeside",255.0,active
1214,ADM2007,Joseph,Taylor,,2013-07-15,Male,,,"2351 Main St, Lakeside",226.0,active
1993,STU_TEST_af83b5,Test,Student,,2010-01-01,male,student_test_af83b5@example.com,,,,active
1216,ADM2009,Karen,Miller,,2010-04-23,Female,,,"2351 Main St, Lakeside",224.0,active
1217,ADM2010,Joshua,Brown,,2011-01-21,Male,,,"942 Oak Avenue, Lakeside",225.0,active
1218,ADM2011,Robert,Williams,,2015-11-01,Male,,,"1998 Cedar Lane, Hillcrest",227.0,active
1219,ADM2012,Michael,Gonzalez,,2010-12-29,Male,,,"9821 Oak Avenue, Riverdale",241.0,active
1220,ADM2013,James,Jones,,2007-02-06,Male,,,"942 Oak Avenue, Lakeside",232.0,active
1221,ADM2014,Karen,Martinez,,2006-04-25,Female,,,"488 Pine Street, Riverdale",237.0,active
1222,ADM2015,Robert,Williams,,2015-09-08,Male,,,"3579 Main St, Riverdale",237.0,active
1223,ADM2016,Ruth,Lopez,,2013-01-27,Female,,,"3065 Cedar Lane, Riverdale",240.0,active
1224,ADM2017,John,Martinez,,2006-04-23,Male,,,"5630 Main St, Meadowbrook",244.0,active
1226,ADM2019,Brian,Martinez,,2012-07-09,Male,,,"7684 Elm Boulevard, Forestville",244.0,active
1227,ADM2020,Sandra,Martinez,,2007-07-04,Female,,,"3181 Pine Street, Hillcrest",257.0,active
1228,ADM2021,Jennifer,Hernandez,,2015-06-26,Female,,,"1074 Main St, Lakeside",239.0,active
1229,ADM2022,Donna,Thomas,,2009-07-12,Female,,,"6402 Pine Street, Springfield",226.0,active
1230,ADM2023,Sarah,Moore,,2007-01-28,Female,,,"7274 Maple Road, Hillcrest",240.0,active
1232,ADM2025,David,Miller,,2009-04-24,Male,,,"804 Maple Road, Riverdale",246.0,active
1233,ADM2026,David,Lopez,,2015-02-09,Male,,,"2629 Main St, Meadowbrook",234.0,active
1234,ADM2027,Donald,Garcia,,2012-07-05,Male,,,"1915 Elm Boulevard, Forestville",247.0,active
1235,ADM2028,Sandra,Brown,,2009-09-16,Female,,,"7021 Cedar Lane, Hillcrest",259.0,active
1236,ADM2029,John,Williams,,2013-11-22,Male,,,"6691 Main St, Lakeside",243.0,active
1237,ADM2030,James,Lopez,,2010-01-17,Male,,,"2721 Main St, Meadowbrook",230.0,active
1238,ADM2031,William,Jackson,,2010-12-15,Male,,,"1983 Maple Road, Hillcrest",259.0,active
1239,ADM2032,Thomas,Rodriguez,,2009-06-23,Male,,,"8217 Oak Avenue, Forestville",226.0,active
1240,ADM2033,Mark,Miller,,2011-01-12,Male,,,"1805 Cedar Lane, Forestville",228.0,active
1241,ADM2034,Kenneth,Jackson,,2006-05-30,Male,,,"1858 Main St, Springfield",258.0,active
1242,ADM2035,Carol,Taylor,,2008-02-21,Female,,,"4495 Oak Avenue, Springfield",243.0,active
1243,ADM2036,Michelle,Johnson,,2006-09-13,Female,,,"306 Oak Avenue, Meadowbrook",237.0,active
1244,ADM2037,Barbara,Johnson,,2012-12-25,Female,,,"6912 Main St, Hillcrest",234.0,active
1245,ADM2038,Michael,Martin,,2013-04-23,Male,,,"6505 Pine Street, Springfield",242.0,active
1246,ADM2039,Susan,Wilson,,2015-08-15,Female,,,"4587 Pine Street, Springfield",255.0,active
1248,ADM2041,Carol,Brown,,2007-10-07,Female,,,"6207 Oak Avenue, Forestville",232.0,active
1249,ADM2042,Ruth,Miller,,2009-11-18,Female,,,"4024 Pine Street, Forestville",236.0,active
1250,ADM2043,Kevin,Miller,,2012-07-20,Male,,,"7235 Oak Avenue, Lakeside",224.0,active
